Wavelength,Clear,Red,Blue,Green
574.718,0.909514,0.319832,0.082927,0.40605
575.833,0.912563,0.342122,0.083586,0.386221
577.824,0.917225,0.380784,0.084858,0.364517
578.493,0.917224,0.39485,0.085353,0.355933
578.525,0.917203,0.395556,0.085378,0.355515
578.723,0.917034,0.40011,0.08554,0.352873
580.406,0.913887,0.457374,0.088184,0.329504
580.516,0.913618,0.46068,0.088088,0.327921
580.929,0.912575,0.471079,0.08771,0.321891
582.41,0.908724,0.498767,0.087712,0.300342
582.668,0.908086,0.502876,0.087915,0.297065
583.81,0.905622,0.519686,0.089103,0.283383
584.849,0.904325,0.533431,0.090109,0.271487
585.777,0.904533,0.544927,0.090744,0.261152
587.424,0.909649,0.564522,0.091137,0.243734
587.851,0.912427,0.569635,0.091088,0.23946
588.64,0.920295,0.579374,0.090874,0.231796
588.839,0.923151,0.581906,0.090801,0.229904
590.631,0.945611,0.60741,0.08989,0.213335
590.841,0.944956,0.610869,0.089763,0.211477
591.505,0.940971,0.623216,0.089343,0.205875
592.157,0.935822,0.642065,0.088917,0.200482
592.425,0.933564,0.670166,0.088741,0.196226
592.501,0.93292,0.672012,0.088691,0.194945
593.434,0.925081,0.68078,0.088096,0.178747
593.942,0.921159,0.691083,0.087806,0.169767
594.563,0.917133,0.695469,0.087532,0.158609
594.855,0.915725,0.696717,0.087462,0.153257
595.198,0.914713,0.698,0.08746,0.146895
595.45,0.914617,0.698886,0.087536,0.142539
596.596,0.92512,0.702968,0.088823,0.132021
597.604,0.945438,0.707733,0.089968,0.126804
597.963,0.950516,0.710121,0.090257,0.125017
598.073,0.951801,0.710989,0.090335,0.124464
599.217,0.960641,0.725005,0.090963,0.116404
599.225,0.960684,0.725106,0.090967,0.107113
599.732,0.962893,0.73416,0.091168,0.105074
599.961,0.963673,0.743319,0.091247,0.104226
600.76,0.965601,0.77506,0.091474,0.101443
601.197,0.966248,0.785512,0.091568,0.099997
601.773,0.966787,0.790982,0.091661,0.098135
603.032,0.96724,0.801284,0.091744,0.094188
603.79,0.967305,0.810961,0.091712,0.091868
605.971,0.968717,0.823482,0.091211,0.085328
606.843,0.973325,0.827969,0.090786,0.082751
607.059,0.975985,0.829065,0.090654,0.082117
607.571,0.983087,0.831654,0.090292,0.080611
609.962,0.98903,0.843492,0.087772,0.07362
610.075,0.98873,0.844046,0.087624,0.073288
612.088,0.973577,0.856844,0.084979,0.067384
612.336,0.969696,0.860246,0.084716,0.066648
612.849,0.956768,0.872454,0.084291,0.065117
612.978,0.951132,0.874829,0.084217,0.06473
613.091,0.943893,0.875006,0.084165,0.06439
613.114,0.941938,0.874949,0.084156,0.06432
613.503,0.928059,0.872793,0.084078,0.063134
613.601,0.927009,0.87214,0.08408,0.062833
614.686,0.911701,0.863213,0.084617,0.059354
615.467,0.893827,0.852602,0.085412,0.056892
615.47,0.893856,0.852535,0.085416,0.056891
615.839,0.897636,0.844347,0.085844,0.056664
617.567,0.913971,0.803753,0.087753,0.054764
617.616,0.914258,0.803779,0.087799,0.054697
618.722,0.917813,0.808944,0.088671,0.052826
619.463,0.917144,0.814276,0.089098,0.049705
619.847,0.915886,0.817132,0.089271,0.049389
622.596,0.895484,0.831532,0.089436,0.050755
624.132,0.878594,0.828646,0.08841,0.050588
624.734,0.871183,0.825,0.087661,0.050317
625.789,0.857158,0.815619,0.085761,0.049589
626.838,0.840898,0.803422,0.083013,0.048618
627.745,0.805608,0.792931,0.079735,0.047618
628.259,0.748833,0.78692,0.077318,0.046993
628.828,0.704918,0.779689,0.073694,0.046254
